n,Bubble Sort,Insertion Sort,Selection Sort,Quick Sort,Merge Sort
448,22300,3500,10200,6900,11800
449,22300,3400,10600,6700,19300
450,23400,3700,10200,7200,11700
451,23200,3600,10800,6900,11700
452,21500,3600,10900,6800,11800
453,23000,3700,10600,6800,11700
454,23400,3500,10500,7400,11700
455,24000,3800,10900,7100,11300
456,27600,3800,10500,7100,11900
457,21800,3600,10400,6800,11700
458,22700,3600,10700,6700,11100
459,21600,3600,10700,6800,11800
460,23100,3500,11400,6800,14900
461,22200,3600,10300,6700,11900
462,22000,3500,10300,8600,14200
463,23100,3600,10700,6600,11600
464,22100,3600,10400,7200,12200
465,23000,3300,10600,6900,11800
466,22600,3600,11200,7200,11500
467,22700,3600,11200,6700,12000
468,21600,3500,10500,7000,11300
469,28400,3400,10500,6900,12600
470,20800,3600,10700,6800,11200
471,21300,3700,10300,7100,12200
472,22200,3600,10700,6800,11900
473,24400,3600,10200,6900,11700
474,21200,3400,10600,6500,12200
475,23900,3700,10800,11800,37000
476,23600,3600,10000,7000,14200
477,23600,5000,13800,8000,15300
478,25400,4500,11700,8500,17100
479,24900,5300,13300,8600,18600
480,27500,4400,12800,8000,23100
481,27100,5500,15700,9100,22200
482,26200,4800,14500,8800,17600
483,52700,5200,13900,8400,17600
484,25700,5700,17200,7800,16300
485,27600,5200,16300,9400,18600
486,30000,5500,15100,9000,20000
487,28500,5500,16500,9100,16900
488,33200,146700,15000,10600,21500
489,23300,3600,10800,7400,13700
490,22400,3700,11600,7400,12600
491,21700,3500,10500,7300,11900
492,24100,3700,10200,7300,12800
493,22900,3700,10700,7100,12000
494,22600,3500,11000,6600,11500
495,23000,3300,10900,6800,11900
496,24500,3800,11000,6700,11900
497,23400,3400,10900,6900,11500
498,31900,3700,9700,6900,11600
499,23100,3700,10500,7300,12200
500,22100,3800,10700,6800,11400
501,22700,3600,10300,6800,11900
502,22500,3700,10500,6900,11300
503,23100,3500,10500,7200,11800
504,22000,3400,10600,8300,11700
505,22000,3500,10700,7000,11500
506,23500,3600,10600,6700,11700
507,23300,3600,10700,6600,11500
508,22300,3300,10200,7000,11200
509,21900,3700,10100,6900,11700
510,21400,3500,10800,7200,11900
511,30200,3700,10200,7000,12300
512,22700,3700,10300,6900,11800
513,22800,3500,10800,6700,12000
514,21900,3500,10400,6600,11500
515,23300,3300,10300,6800,14000
516,21800,3400,10600,6500,11800
517,23800,11400,10800,6800,12100
518,22100,3400,10800,6600,12200
519,22900,3400,10800,7000,12000
520,21800,3600,10700,6700,13600
521,24600,3900,12600,8700,11900
522,22100,3700,10700,6900,11500
523,22700,3700,10900,13500,13200
524,22300,3500,10100,6700,11700
525,22800,3600,10600,7000,13600
526,21900,3700,10400,7000,11800
527,22900,4000,10300,6700,11900
528,22000,3700,10900,6800,11700
529,22600,3800,10700,7000,11600
530,29400,3500,10800,6900,12300
531,23200,3800,10700,6500,11700
532,22100,3500,10500,8400,14800
533,22100,3600,10500,6900,11700
534,26400,4300,14300,7500,12400
535,22600,3600,10500,7000,11800
536,21600,20300,11700,8000,17100
537,25200,4800,12100,8600,17900
538,28600,5200,65100,50500,21900
539,467900,4800,13500,9200,41700
540,26400,4600,13400,9000,27800
541,31000,3900,12900,8600,18100
542,27500,4600,13700,8700,16900
543,25900,4900,12200,8200,17700
544,26100,5200,15300,8600,19600
545,27500,5200,14700,8700,19000
546,30800,4500,13100,8100,18100
547,25900,5500,14700,8600,18400
548,28100,5300,15800,8500,19200
549,38900,4300,12600,8600,19200
550,26700,4800,13300,8900,16900
551,27900,5200,14200,8700,16600
552,27300,4700,14100,9000,17900
553,25800,4500,12200,7300,16300
554,25200,4400,13100,8300,20500
555,27900,5200,12600,9000,17100
556,25900,3800,12700,9600,17400
557,37900,4600,15700,9300,18300
558,29300,5200,47700,353100,23300
559,28600,5400,43200,188900,22700
560,28300,5200,15800,10000,20400
561,29500,5100,15500,9000,19100
562,27800,5300,16500,9500,20000
563,34500,5600,15700,8900,19400
564,29100,5000,15800,9100,19200
565,28200,4900,15100,9100,19400
566,28900,5500,13800,1586500,25200
567,27600,5300,14500,9100,19600
568,28200,5300,16500,8500,18400
569,28100,5200,14800,8600,18300
570,28400,5200,15100,9200,17700
571,27800,5400,14000,9100,18200
572,28600,5100,16400,9100,18100
573,28100,5300,14800,8700,18000
574,28800,4800,15800,8500,17500
575,27500,5000,14600,8800,18200
576,38500,9300,16000,8800,19600
577,29600,5300,16700,9300,18800
578,27300,4300,14800,9100,18400
579,27600,4900,15900,8300,17800
580,29200,5400,15500,8600,18100
581,33800,5300,15700,9100,19000
582,27900,5700,15700,8400,20400
583,27900,5300,15800,9000,17400
584,28500,5700,15000,9400,18500
585,31000,5800,16300,8900,22600
586,29400,5400,15800,9200,17200
587,28500,5600,16800,9500,20500
588,29800,5000,15600,9400,18900
589,29300,5600,16100,8800,18000
590,29300,4900,19700,9200,18400
591,31500,5700,16300,8800,18000
592,27900,5500,16200,9900,20800
593,28500,5800,14600,9000,15500
594,29900,5500,16000,9100,18000
595,32800,4500,25600,8600,18800
596,30000,5400,15000,9000,18900
597,28700,5600,16400,9100,18800
598,28900,5800,15800,8900,17800
599,27500,5900,15500,8600,18000
600,27300,5500,16000,8800,18200
601,29500,5500,16200,9200,18000
602,29700,5800,15300,9400,18300
603,28900,5500,15100,9300,19100
604,29100,5100,15700,26200,64100
605,29800,5800,16300,39600,20000
606,30400,5400,16900,93800,21000
607,28400,5000,136800,9700,20200
608,28400,5600,16200,8800,24300
609,29800,5400,16800,10500,56500
610,31000,5600,15900,9600,20600
611,183900,5700,16000,9600,22700
612,29300,5600,16600,9600,22300
613,27500,5500,227600,9400,21500
614,29800,5600,16100,8800,19500
615,27200,5400,13200,8400,19600
616,35900,5100,16400,9000,19100
617,28700,5300,16200,9200,18800
618,28800,5500,16000,8800,19400
619,29200,5600,16400,9400,24200
620,29300,5900,31100,9900,18900
621,26800,8600,15800,9300,20500
622,29100,5200,13900,9200,23000
623,29200,4900,13100,10700,20900
624,28300,5000,27300,8900,19400
625,27400,5100,14500,8600,19600
626,28600,4900,14700,9100,22400
627,30800,5300,14600,8100,17300
628,26700,4600,14900,8400,18900
629,38200,5100,14500,8500,18500
630,28100,5500,14200,8800,67800
631,29500,5500,15500,9300,1243200
632,30200,5600,15700,10200,20300
633,29700,5500,42100,9500,22200
634,28400,5600,28000,9300,19300
635,27300,4400,13200,8400,19400
636,27600,4800,15000,9000,18800
637,25500,4200,12300,7900,17300
638,564600,4900,13000,8600,21600
639,62600,4800,13300,9100,21300
640,26000,4700,13500,8600,186200
641,25700,4600,11900,8100,18100
642,24300,54600,12300,8800,19000
643,59700,46200,12800,8700,19800
644,133900,5800,15800,9500,23000
645,29700,6000,15700,9300,19300
646,31300,5700,15700,9400,18700
647,28900,5400,14800,9300,18600
648,29600,5400,15600,9200,18600
649,28400,5200,15900,9000,18000
650,27900,5300,16200,9500,20800
651,28400,5500,17200,9000,19200
652,29700,5800,16200,9100,18700
653,27500,5300,16900,9700,17600
654,28900,5400,17100,9100,18100
655,28800,5500,16300,11800,17100
656,28400,5800,15700,9200,18600
657,29700,5500,16500,8900,18400
658,30700,5800,16100,9100,18200
659,30300,5100,16300,9100,17800
660,29400,8800,16300,8800,21000
661,28800,5600,16000,8700,17700
662,29400,5000,15300,8700,17500
663,28100,5600,16100,9300,18300
664,30000,5400,15400,9700,18300
665,32400,5200,16300,9200,20700
666,29100,5100,16500,9100,18100
667,30700,5400,17100,9000,24700
668,29500,5600,17200,9700,18700
669,29500,5500,16100,9500,49200
670,120300,3900,10700,7700,18500
671,22400,3800,11200,6800,13300
672,23700,3800,10700,7000,12300
673,22400,3400,10300,7100,14000
674,21600,3400,10500,7000,11600
675,23300,3500,10200,7100,12200
676,21500,3600,10000,7100,12000
677,23400,3400,10800,7100,11900
678,22500,3700,10400,7000,11800
679,22600,3400,10000,6900,11600
680,27800,3500,10600,6800,12400
681,22100,3600,11700,6600,11700
682,22200,3700,10600,6700,11600
683,22300,3700,11100,7000,12200
684,23800,3800,10900,6700,11800
685,22800,3500,10400,6900,11900
686,22300,3800,16000,7200,12000
687,22100,3500,10900,6700,11800
688,22700,3700,10800,6500,11600
689,22800,3600,10500,7000,11900
690,21400,3600,10400,6800,12200
691,22600,3700,10500,6700,11600
692,22000,3500,10900,12700,14700
693,23800,3700,10900,7500,11500
694,21700,3400,10600,6700,11900
695,22200,3500,10200,7100,11800
696,22700,3500,10900,6800,11900
697,22600,3700,10600,6900,12200
698,21300,3600,10600,6600,11800
699,28500,3600,10600,7100,14100
700,22700,3800,10700,6900,11700
701,22400,3500,10800,7600,16900
702,20900,3200,11000,7100,11900
703,22400,3500,10200,6900,12000
704,22600,3600,10700,6900,14200
705,22900,3400,13000,17900,15800
706,24900,3600,12200,8400,15900
707,26500,4900,13100,7900,17600
708,24300,4300,14600,8200,18600
709,70500,4700,12600,8500,25200
710,26000,96700,13000,8000,18400
711,25800,4200,14500,8700,16800
712,68900,5100,42500,9300,35800
713,27000,4700,13600,9400,18400
714,28900,5300,13700,7100,17400
715,25900,3800,10300,7500,12000
716,22000,3600,10700,6800,12500
717,23900,3600,13600,8400,16200
718,37500,5300,14600,7200,12800
719,26500,4500,13600,8600,18200
720,24800,3800,12800,8900,12600
721,23700,3200,11000,6800,11800
722,23900,3400,11100,6900,11800
723,21800,3600,10800,7100,20400
724,23800,3600,10400,6900,12100
725,23200,3500,10600,6800,11500
726,23400,3400,11200,7000,11500
727,21200,3300,10300,6900,12000
728,26100,5200,12800,7000,13000
729,22500,3500,10600,6900,21900
730,22400,3700,10800,6800,12200
731,23500,3300,10200,7000,11800
732,24800,4000,10400,6600,12900
733,21900,3400,10400,6800,13000
734,23300,3800,10000,6700,11500
735,24400,3500,10400,7100,12700
736,23100,3900,10100,6800,12200
737,23200,3700,9900,6900,11400
738,22000,3600,10900,7000,13900
739,22200,3200,10600,7000,11400
740,21700,3300,10600,6800,11400
741,22300,3400,12700,7100,11900
742,23800,3500,10700,6900,11700
743,23000,3500,10500,6800,13900
744,24100,3500,10500,7000,11500
745,23400,3700,10600,7000,11300
746,22500,3400,10300,7000,11600
747,23000,3600,10100,7000,27800
748,22800,3700,10400,7200,13900
749,22800,4000,10500,7300,11200
750,23100,3500,10700,6700,11400
751,22000,3400,10300,7000,11600
752,22700,3500,10700,6700,11800
753,22100,3500,10400,6700,11700
754,28800,4200,11100,7000,12100
755,22900,3300,10500,6900,11700
756,22100,3500,11100,7000,11900
757,21900,3500,11500,6800,11800
758,21300,3600,10400,7300,12100
759,21900,3800,10300,6700,12000
760,23300,3700,10800,6600,20400
761,21700,3300,10400,6800,13200
762,24600,3400,11000,6800,11200
763,22900,3700,10300,7300,11600
764,22800,3700,10400,6400,11600
765,23600,3500,10700,7200,11800
766,23200,3700,11000,6900,14200
767,23000,3700,11200,7000,11700
768,21800,3500,10300,6500,12100
769,21100,3800,10000,6900,11500
770,22200,3700,10100,6800,11100
771,22200,3600,10600,6600,12000
772,23200,3600,10300,7100,11700
773,37800,3900,12400,7000,12100
774,20400,3400,10500,6800,11200
775,21700,3400,10400,6700,11400
776,23100,3700,11200,6900,11500
777,21900,3700,10300,6800,13100
778,22500,3700,11100,6800,11400
779,23000,3600,10500,20700,11600
780,24500,3500,10400,6700,12100
781,22500,3300,10900,6600,11500
782,22200,3400,10400,7600,13800
783,23000,3500,10200,6900,11600
784,21800,3600,10800,6800,11700
785,22100,3600,10200,6500,11800
786,30300,3500,10400,7500,11800
787,20700,3500,10600,7200,14000
788,22000,3500,10900,6800,11400
789,23900,3600,10400,6600,11500
790,22600,3400,10600,6900,11800
791,23600,3600,11100,6900,11600
792,21800,3400,10200,9900,17800
793,21800,3500,10800,7200,13100
794,23400,3800,10900,7100,12400
795,23100,3700,10300,7000,16500
796,23400,3900,10600,6900,12300
797,22500,3700,10500,6900,12100
798,22200,5100,10900,7000,12600
799,21700,3700,10400,6900,17000
800,27600,4000,13600,7600,12500
801,25500,4400,13600,9800,15600
802,25100,3900,10600,7000,15800
803,25000,4300,12800,8300,22400
804,26500,4300,14400,8500,16400
805,26800,3900,12900,8600,19700
806,27900,4500,13900,9500,17600
807,20900,4300,13000,8700,16800
808,27700,4800,14300,14500,36100
809,24100,4500,12400,8800,229000
810,26200,4900,15100,9400,19400
811,25900,4700,13100,8400,18000
812,26800,4500,13300,8400,13500
813,22300,3700,10900,24800,49800
